Id,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
269, on 01/24/06 21:17 PM (PST),Bob ,2005 Dodge Sprinter Van 2500 High Roof 158 WB 3dr Ext Van (2.7L 5cyl Turbodiesel 5A),Dodge Sprinter," I bought a new Sprinter van 158 in. Wheelbase (cargo) right after hurricane Wilma flooded my step van. I brought it home started building shelves and tool storage for my business. Just got it done and the transmission goes out. After almost three weeks I have it back with a whole new transmission and I  hope it stays running. It's a nice truck, low power, but I guess thats what you trade to get good mileage. The whole truck is thin sheet metal, I mean thin ! And there is rust showing on the roof of mine with less than 1000 miles on it. Also there is no frame unibody to save weight and improve mileage but not longevity in my opinion. It does go down the road good. It was noisy until I put in a bulkhead",3.25
270, on 10/01/05 18:22 PM (PDT),Big Silver Box ,2005 Dodge Sprinter Van 2500 118 WB 3dr Van (2.7L 5cyl Turbodiesel 5A),Fun until it breaks," It is fun to drive, handles great and pulls my 4k pound camper ok, and until 2 weeks ago I couldn't say enough good things about it. Then one morning it would not start, and to make a long story short, it has been sitting at the dealers now for 2 weeks waiting for a part. The part, they tell me is on national back order, which means that there isn't one in the whole country! How in the world can they sell these trucks as work vehicles and not have parts for them? If you use your van to make your living you may want to wait untill they get their parts network  straightened out before you buy one. All the good featurs of this van mean nothing if you can't fix it asap when it breaks down.",3.875
271, on 06/02/05 12:12 PM (PDT),rdrick ,2005 Dodge Sprinter Van 2500 140 WB 3dr Ext Van (2.7L 5cyl Turbodiesel 5A),Sprinter right home," I have only had the vehicle for a short time but I LOVE the gas mileage!  Beats my Chrysler Town & Country!  Biggest drawback is the lack of tilt steering. Otherwise, GREAT vision, and good back support (especially with the optional lumbar air pump).  I haul 5 kids and their friends and their junk with no problem!",4.375
272, on 05/08/05 08:29 AM (PDT),n_tesla ,2005 Dodge Sprinter Van 2500 118 WB 3dr Van (2.7L 5cyl Turbodiesel 5A),Silly looking...but fun to own.," Mine's used as a delivery van for plasma TV's during the week and as a kids sports team hauler on the weekend. As a utility vehicle this can't be beat. The doors open wide, the walls go straight up, it's easy to move around inside. The ride is much more controlled than the E150's and GMC vans. Most times we don't have to tie items down. Taking seats in and out is a two (strong) man job. I'm told the comfort in the back is good. My daughter's soccer team has adopted this van as their mascot. They like the privacy glass windows.  I ordered the extra insulation package and it's still noisey inside. I bought an Avery berber floor mat and it quieted things down a bit. It's cool in a weird way.",4.75
273, on 01/16/05 09:06 AM (PST),dennis spoerke ,2005 Dodge Sprinter Van 2500 High Roof 140 WB 3dr Ext Van (2.7L 5cyl Turbodiesel 5A),dangerous/unreliable sprinter," I have a Nationwide Pet Transportation business that involves traveling 11,000-12,000 miles per month, mostly at interstate speeds. My 2004 Sprinter was to be my IDEAL vehicle - instead it is a nightmare!   ",1.625
274, on 01/03/05 16:10 PM (PST),scot wilce ,2005 Dodge Sprinter Van 2500 High Roof 118 WB 3dr Van (2.7L 5cyl Turbodiesel 5A),Great for Families too...," Tired of mini-vans and SUV's for the family?  this has been an amazing family vehicle..and a large dvd player and it is like a movie theater on wheels.  My 4 kids love to ride in it and long trips are no longer a ""are we there yet?"" marathon.  Great for mom and dad to get up and move around the vehicle and attend to little people's needs.  clean up is a breeze...with the bench seats you can clean it out with a leaf blower!  The bench seats also accomidate long lumber with ease.  Driver and passenger seats are very adjustable and comfortable.",4.75
275, on 12/18/04 13:40 PM (PST),Oiseauzepher ,2005 Dodge Sprinter Van 2500 140 WB 3dr Ext Van (2.7L 5cyl Turbodiesel 5A),Best Cargo Van Available - Buy it," I move art and the vehicle is smallest choice possible.  I must say I am amazed at all the possitive comments I get about the style.  Kind of a European spy thing.  It handles well (it is a van).  Plenty of pickup and speed, 80mph no prob.  I live in  Colorado, so I've given the vehicle a work out on hills and cold - damn cold weather.  If you're going to use the van in very cold, get the aux heater package. Great idea. You can set the aux heater to preheat the engine and cab for anytime.  It runs on the fuel so don't use in a garage. Great fuel economy (25+) on the hwy. Cup holder too low. Washer fluid freezes in exterior line below 25. Steering wheel should adjust.  Great Van - Buy it.",4.5
276, on 11/15/13 19:13 PM (PST),junk13 ,2003 Dodge Sprinter Van 2500 High Ceiling 118 WB 3dr Van (2.7L 5cyl Turbodiesel 5A),A Nightmare," We have had our 2003 Sprinter for 2 1/2 months.It has been in the garage for 3 weeks now and still after $2,000+ don't know what it is.It ran fine but it started being difficult to start.It would crank and crank and then finally start until it just wouldn't start.We had it towed to Freightliner thinking they work on these vehicles and would know their stuff.They first said it was a cranking sensor and a quanity control value.It took 2 weeks to get the part.Didn't fix it.Now they say they think it is the engine harness and if not that then maybe the fuel pump.Well still sitting there.If they ever get it started we are going to get rid of it.No more problems!!",2.75
277, on 02/07/12 10:36 AM (PST),henrod ,2003 Dodge Sprinter Van 2500 SH Ceiling 118 WB 3dr Van (2.7L 5cyl Turbodiesel 5A),AVOID AT ALL COSTS!," Bought one of the first 2002 models imported into the states and the day after I drove it home, it had problems. Steering rack was out after 1,500 miles had all the fuel injectors replaced twice, cylinder head was damaged by Freightliner dealer in Forest Park, GA and had to wait 4 months to have the part shipped in from Germany and installed. On my third turbo and fuel pump, have gone through the famed ""Black Death"", on my fifth transmission which required having the entire motor pulled to get to it. And after 135,000 miles, still having problems, at least they're not as frequent.",3.75
278, on 11/24/07 16:55 PM (PST),Wild Imaginations ,2003 Dodge Sprinter Van 2500 High Ceiling 140 WB 3dr Ext Van (2.7L 5cyl Turbodiesel 5A),2002 Freightliner Sprinter is fantastic!," I got this van used in September 2005 and drove it home from Brighton, Co to Danville, CA. It drove perfectly fine. Fuel mileage was around 20 mpg.  After 50k miles, the mileage got up to 22 mpg.  Now after 106k miles, the mileage is up to 25 mpg combined city/fwy. Use it for my business and never gave me any problems. Even went on a trip from Danville, CA to Las Vegas, NV on one tank of diesel fuel.  I was totally impressed!!!  Everyone is always complimenting or asking questions about my Sprinter van.  My kids think it's the ugliest thing in the neighborhood and refuse to be near it.  Good for me, they won't bother asking me if they can use it.  Will keep it for another 100k miles!",5
279, on 03/27/04 00:00 AM (PST),MEDICALTRANSPORT ,2003 Dodge Sprinter Van 2500 SH Ceiling 140 WB 3dr Ext Van (2.7L 5cyl Turbodiesel 5A),MEDICAL TRANSPORT GUY," I OWN A MEDICAL TRANSPORTATION COMPANY AND THIS VAN IS JUST WHAT MY BUSINESS NEEDED.  IT STARTS AT 30 BELOW ZERO.IT HAS EVERYTHING YOU WOULD WANT.  I CAN CARRY UP TO TWO WHEELCHAIRS AT ONE TIME OR ONE WHEELCHAIR AND 6 PASSENGERS NOT INCLUDING MYSELF THE DRIVER.  VERY EASY TO DRIVE AND THE VIEW IS GREAT.  MY CLIENTS JUST LOVE THIS VEHICLE FOR THE WAY IT HANLDES, NOT SPUNGY LIKE A REGULAR VAN BUT REAL BEEFY.  THIS IS A VEHICLE FOR ANY BUSINESS AND IS ONE I WOULD RECOMEND YOU LOOKING AT.",4.875
280, on 09/11/03 00:00 AM (PDT),lgc30642 ,2003 Dodge Sprinter Van 2500 SH Ceiling 158 WB 3dr Ext Van (2.7L 5cyl Turbodiesel 5A),I love my Sprinter Van," Not only is this an awesome van for my construction business, it is dynamite for advertising because I am still the only one in my market are with one!  It's been absolutely flawless so far. With 23+ MPG, it's much more cost effective than a pickup outfitted for tools.  I've turned it into my ""advervan"" and business has picked up even in this down economy",4.875
281, on 04/16/03 00:00 AM (PDT),Carpool Dad ,2003 Dodge Sprinter Van 2500 High Ceiling 140 WB 3dr Ext Van (2.7L 5cyl Turbodiesel 5A),"Sprinter 2500, a great family car"," This is the only vehicle I could find that I can expect atleast a quarter million miles from.  It is also the only ""large"" vehicle I could find that offers 20+ MPG. I expected a lot of ""have you lost your mind"" comments, but guys offer gutteral Tim Allen sounds and carpool moms envy the room.  Bottom line, I have my kids in tow for the next seven years and I will either be equipped to be an integral part of their lives (carpool, school trips, mission trips, sports team trips, etc.) or I will position myself to be a bystander.  My wife is also confident that I didn't by this behemoth in order to ""pick up chicks"".",4.625
282, on 01/24/17 13:23 PM (PST),Walt Wilson ,2008 Dodge Sprinter Van 2500 170 WB 3dr Ext Van (3.0L 6cyl Turbodiesel 5A),"It's a bird, it's a race horse, no, it's Super Van"," This van is a thinly disguised Mercedes.  Really.  You can get service at a Dodge dealer, same at Mercedes.  Spare tire is located poorly if you are handicapped.  Be ready for dealers trying to get you to sell yours.  Mine has options like a front seats that allows standing and walking to the rear, rear area tie downs and cargo holds, twin batteries, 12 volt outlets all over.  Use the electronic key to unlock and forget, the van relocks in a minute.  Extra long, tall enough that I can stand in (at 6'5"" tall), rear doors each with multi-position open states, and nice wide sliding side door (curb-side).",5
283, on 12/19/16 17:01 PM (PST),Tom  Maher ,2008 Dodge Sprinter Van 2500 144 WB 3dr Van (3.0L 6cyl Turbodiesel 5A),Best purchase, Great van for traveling back and forth to our Southwest Florida home and back to New Hampshire.,5
284, on 08/09/16 17:00 PM (PDT),Melvin Bassett ,2008 Dodge Sprinter Van 2500 170 WB 3dr Ext Van (3.0L 6cyl Turbodiesel 5A),"If you Venture, then do it in a Sprinter", ,5
285, on 09/12/10 00:00 AM (PDT),Jaybird Del. Co. ,2008 Dodge Sprinter Van 2500 170 WB 3dr Ext Van (3.0L 6cyl Turbodiesel 5A),Maintenance nightmare," I have 2 sprinters. Both are 1 ton 3.0 diesels. I have same continuous problem with both van's. If you even think about driving on gravel road and it's wet, brake wear sensor wires are broken, making dash light come on. Every 35,000 almost to the mile, one of the carrier bearings (there are two and they are identical) will go out. 219 bucks for the bearing plus install. Finally found some brake pads that would wear longer than 25,000 miles. Dealer only at first, 125 bucks a set of pads. Now, torque converter is bad on both. One has 90,000 on it, the other 120,000. After doing some more checking, this seems to be a widespread problem. This fix is over 2 thousand. I can't keep up.",3.625
286, on 01/19/10 05:21 AM (PST),PonchoV ,2008 Dodge Sprinter Van 2500 144 WB 3dr Van (3.0L 6cyl Turbodiesel 5A),Cargo to toyhauler fun, I did a lot of research before getting my 08 2500 144. It's a basic unit & that is what I wanted.  In the last 6 mths I have put 0ver 22k miles on the truck.  No issues.  The dealership crashed the truck & didn't tell me when I bought it.  It seems to run fine & I keep my fingers crossed.  My mpg are 21-23 on the open road & 21 in town.  If you use the turbo then mpg drop big time. so take it easy & save $.  In traffic handling is great.  It will tow at freeway speeds but that was my lowest 17 mpg. The truck is quieter than other vans.  Brakes are good in rain & in dangerous events.  Lay out of inst. on dash are very user friendly.  Radio is ok.  Steering is solid & no real over steering.,4.5
287, on 01/15/10 13:05 PM (PST),Dean Appliance Svcs ,2008 Dodge Sprinter Van 2500 144 WB 3dr Van (3.0L 6cyl Turbodiesel 5A),Reliability not an option," Thought carefully before purchase about reliability, service availabilty, fuel mileage, upkeep costs. Vehicle arrived broken. Developed a serious power steering leak and had to be towed the same day to nearest dealer, 2 hours away (not local as advertised). Then EGR valve failed, intermittant Check engine light and no power). Drivers wiper seriously out of align, bad noises. Plastic trim items poorly fastened and repeatedly fell off. Dlr attempted to reinstall. Frt tires chewed off at 10K miles, align not done at factory? Lts began to fail, headlight, parking, tail, signal (all very cheaply made bulbs I suppose). Several parts have fallen off. Ok truck if you like coffee at the dealers loung",3.25
288, on 08/08/09 11:19 AM (PDT),Jim ,2008 Dodge Sprinter Van 2500 144 WB 3dr Van (3.0L 6cyl Turbodiesel 5A),2008 144 wb high roof Passenger Sprinter," We extensively researched the vehicles available to convert to a handicap accessible vehicle to transport our fifteen year old son who uses a wheelchair.  After reviewing all possible alternatives, we chose the Dodge 144 wb high roof passenger model Sprinter, which we had modified at CMI in Grove City, Ohio.  We chose this Sprinter for its fuel economy, build quality, safety features, maneuverability, and the conversion options available.  We removed all seats, and added three swiveling captains chairs, a folding bench seat, a rear under seat heater, additional insulation, and a Braun Vangater lift.  Now we have a long term solution to transporting and taking care of our son's needs.",4.375
289, on 05/05/07 21:19 PM (PDT),mpoulsen ,2000 Dodge Avenger Coupe 2dr Coupe,"Dependable, car"," I have had this care now for 6 years and have had a great experience. I have had no major mechanical expense, just routine maintainece.",4.625
290, on 04/22/03 00:00 AM (PDT),Icekool ,2000 Dodge Avenger Coupe ES 2dr Coupe,Nice Look Weak Engine, I just recently bought the 2000 Avenger Es & I think it is a great car for the money... It is sharp looking and has some pep to it.  The only downfall is it looks faster than it drives...,3.75
291, on 02/27/03 00:00 AM (PST),Oldskool96 ,2000 Dodge Avenger Coupe 2dr Coupe,It's cool," The car fit me perfectly. Stylish on the outside, simplistic on the inside.",4
292, on 02/26/03 00:00 AM (PST),Kilbrie ,2000 Dodge Avenger Coupe ES 2dr Coupe,decent buy...just don't look at resale!," I bought this car for my wife.  I decided on this car based soley on looks, and the fact that every review mentioned that the quality was much better after 1999.  It has been a reliable car and has given me no major problems, but I will not own another one.  After 40,000 miles, there are numerous interior creaks and groans, the interior light keep blowing, the motor has developed a ""tick"" and the transmission is shifting is very sloppy.",3.875
293, on 01/14/03 00:00 AM (PST),ihatedodges ,2000 Dodge Avenger Coupe ES 2dr Coupe,This Car is overpriced........," I bought my Avenger in the year 2000 brand new, it was sticker priced at $22,740. what a ripoff....to find out it's worth $8,500 now.....talk about a let down...This car only looks nice,it rides rough, is slow as hell,  it is too small, uncomfortable, every single item on this car is pricy, special, or hard to find....I most likely will not buy a Dodge product in the future,,,,service and parts absolutely stink.............",2.5
294, on 11/21/02 00:00 AM (PST),Floc ,2000 Dodge Avenger Coupe 2dr Coupe,Good Car, I've had my Avenger for almost 3 years now and its been a great car. Besides a few small problems all was well with the car.,4.25
295, on 10/31/02 00:00 AM (PST),ALIFS ,2000 Dodge Avenger Coupe ES 2dr Coupe,"FUN, SPORTY CAR", I HAVE NOTHING BAD TO SAY ABOUT MY AVENGER...EXCEPT THAT I HAVE TO GET RID OF IT DUE TO THE FACT I HAD ANOTHER BABY.  MY SEVEN YR OLD CAN CLIMB IN AND OUT OF IT EASILY BUT IT'S LESS CONVENIENT TO GET MY THREE MONTH OLD'S CAR SEAT OUT OF IT.  I ABSOLUTELY LOVE THE CAR BUT I'M REALIZING THE SPORTY FUN CAR MUST NOW TURN INTO A PRACTICAL MINIVAN OR SOMETHING :(,5
296, on 06/12/02 00:00 AM (PDT),Mark Silbernagel ,2000 Dodge Avenger Coupe ES 2dr Coupe,"Great Car, Turns Heads"," I had a leased Olds Alero (2000) to compare against -- and found that the Olds felt more bouncy (had sport susp. opt). The 17"" wheels must help the ES. The Avenger feels 'longer' and rides more smoothly (nice), and is also more quiet. Steering on winding rural roads is a little different (less sport 'tight') than the Olds but comfortable nonetheless. Body noise and fit are much better on the Avenger. GM does nice things with the technology (like using antilock sensors to determine when your tire pressure is low) but between the two I pick the Avenger ES. Mark",4.125
297, on 01/18/17 07:15 AM (PST),William ,2014 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),This Dodge Avenger has been so unreliable," I bought my 2014 Dodge Avenger brand new and it has been in the shop on a regular at least twice a year. It is a lemon! I would not buy one if I were you! The Alternator alone was $600.00 with parts and labor. They had to build an entire new Ignition system that was not covered under any warranty so out of pocket another $1000.00!!!! Then the fuel injection stopped firing properly so another out of pocket $700.00! And now I turn the key this morning and nothing ! Battery is good ! Looks like another electrical issue with the ignition system. Totally unreliable car! I had to buy a used Honda just to have something reliable. My little honda has 175,000 miles on it and it is way more reliable than this Dodge Avenger!",1
298, on 11/08/16 09:39 AM (PST),ANDIE ,2014 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),Sporty Good!," The SE model I recently purchased is a great car.  I love the Sporty look,  it rides good, and runs good mechanically.  The radio is a the basic stereo for this vehicle.  No rear view camera, no navigation or touch screen options.  I'm thinking about upgrading just for the rear view assistance.  The windows aren't as wide as what I'm used to in a suv.  But all in all I'm pleased!",4
299, on 10/09/14 10:57 AM (PDT),joechevy1 ,2014 Dodge Avenger Sedan R/T 4dr Sedan (3.6L 6cyl 6A),Best Kept Secret In Ride and Power ," I traded a 2013 Dodge Dart turbo manual for a 2014 Avenger with the 3.6 Pentastar because I wanted an automatic again and the incentives were high. Best move on a new car I've ever done on a new car  purchase. All I ever read were so-so reviews about the Avenger over the years. But I figured I'd take a chance on it since it had the V6 power and some extra styling Bling. (I did not get the R/T, but this site did not list the SE version with all the add-ons I got). What a car!  Super Comfortable, capable handling, doesn't look like every other Asian cookie cutter sedan on the market these days and..... wait for it.....   POWER TO SPARE.  Best kept secret , the 3.6 Pentastar!!! Fantastic!",5
300, on 01/23/18 20:43 PM (PST),April ,2010 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),This has been a great car for me.," I have almost 200,000 miles on my Avenger and have had very few repairs.",5
301, on 06/18/17 07:25 AM (PDT),Jon ,2010 Dodge Avenger Sedan Express 4dr Sedan (2.4L 4cyl 4A),Solid and Reliable.Love the simplicity of this car," It's not Japanese or European so naturally Edmunds didn't like the Avenger. I have enjoyed the ride, simplicity and overall reliability of this car. I have 180,000 miles on my car and not a days problem with it. I travel 120 miles a day and it is solid as a rock with no rattles. The sound system is amazing and the uconnect is awesome. To me this was Chryslers hidden gem that was overlooked because of the problems with the early stratus and Sebring models from the late 90s and early 2000s. I have the 2.4 4 cylinder which is a good engine. Not a power horse but adequate. This car has been a good value and one of my favorite cars I have owned.",5
302, on 06/04/14 13:08 PM (PDT),cloud23465 ,2010 Dodge Avenger Sedan R/T 4dr Sedan (2.4L 4cyl 4A),Long time loyal dodge customer... nothing good about this dodge," Where to begin. Already had to replace 2 window regulators on the front of this car with very little use. I baby this car and it is well taken care of for a 4 1/2 year old car. Dealer ship screwed me on $450 for the passenger window regulator that failed in about 3 years of ownership. Now a year later the drivers side is out. I will try to replace it myself but, once done I will not use the windows anymore. I am and the family has own and sworn by Chrysler since the 70's. We've own 71' Barracuda, Satellite 72', A Ram charger, Dodge Daytona, Chrysler Sirius and Concord, Ram vans and Trucks and a first series dodge avenger (1996) so, I am not just some fence jumper",2.5
303, on 12/13/12 14:10 PM (PST),fletchums ,2010 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),2.4l l4 sxt," well, for starters, i have an '09 rio lx and an '04 explorer eddie bauer ed....compared to those vehicles, i would'nt hate...i love my avenger, its a good reliable vehicle. i understand that its transmission is out of date and the engine is low powered but for the price i got it and the reason i picked it, its great...its one of those cars where you like it for the ride and not the power, like someone said already, if you wanted something fast you wouldn't have looked a 4 banger...the vehicle is a one of a kind beast, i have had no problems with the A/C or the brake lights, i did though buy it after it came out by 2 years, all i can say is it was worth the money i spent on it.",4.5
304, on 10/31/12 14:35 PM (PDT),broc212 ,2010 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Beyond disapponited, 4 speed transmission in a 2010 vehicleNot very good gas mileage for a 4 cylinder engineShifts roughNot very comfortable or roomyVery underpowered motor,1.75
305, on 10/14/12 08:17 AM (PDT),dafozzy ,2010 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),A ok car," We bought a 2010 avenger sxt in Feb 2010. Right of the bat the A/C stop working on high. The Dealer wanted $125 just to tell me what wrong, then another $200to fix it said the part was NOT under warrenty. Then the brake light started coming on and going off. another $125 to look at and $325 to replace the parking brake switch. Now the computer is resetting its self on the climate control switch and you have to park the car pull the fuse out and put back in to reset. Just a headache from the time we bought. The transmission is very weak the motor is turning 3000-4000 rpm traveling the interstate at 70-75mph. I will never buy another Dodge Avenger!!",2.75
306, on 07/09/11 17:35 PM (PDT),rlw6 ,2010 Dodge Avenger Sedan R/T 4dr Sedan (2.4L 4cyl 4A),"Quiet and comfrotable, but several simple downsides"," I've been using this rental for several weeks. Overall comfortable and quiet, but:The trunk lid, with it's spoiler, is very heavy and requires both hands free to lift it. The high lip of the trunk combined with the long rear window means that loading the trunk is limited to small things. The hood release is very poorly located and was broken by a previous user, but my left foot caught constantly on that lever on exiting the car. The A/C frequently required turning the fan to full to get it to kick in. Once working it could cool very well at 60 mph, but became an oven at traffic lights.",3.25
307, on 03/09/11 16:40 PM (PST),dba22 ,2010 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Love it!," I just bought a leftover 2010 Avenger on 2/22/11.I looked at all the cars in the class, Malibu, Altima, Fusion, Camry, Accord - but I kept coming back to the Avenger.This car was by far the best value!All the ""professional"" reviews seem to hate on the Avenger, but I don't know why.This car has it all: looks, features, great mileage, plenty of room.I could not be happier with my decision.I got a new car with great warranty for the price of used.Everyone that has seen and ridden in the Avenger can't believe what a great little car this is.Definately worth a look if your in the market for a midsize car.",5
308, on 10/28/10 00:00 AM (PDT),cj2188 ,2010 Dodge Avenger Sedan R/T 4dr Sedan (2.4L 4cyl 4A),Love It!," I bought my brand new R/T Avenger a few weeks ago and I love it! I test drove so many vehicles before this one and nothing else compared to it overall (Mustang, Camry, Altima, Impala, G6 etc.) i also used to have a 300 Touring which i didn't like anywhere as much as I do this car. It drives great, has good inside space, great sound system and touch Screen with all the features that i haven't seen in any other cars and it gets great gas mileage. Of course performance-wise your not gonna match a V6 or V8 but if you wanted something fast you wouldn't be considering a 4- cylinder in the first place.",4.875
309, on 10/17/10 00:00 AM (PDT),trish ,2010 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Loving it so far," I was getting tired of driving my truck for commuting so I wanted a nice family car. They kept showing me the Altima and I hated that, then the charger, but I felt it was too big. Then I saw the avenger. I loved it. Have had it a while now and I have no complaints. Totally made the right choice. Not sure why it got such bad reviews, especially when compared to an altima, had one, those things poor.Overall very pleased",5
310, on 09/20/10 00:00 AM (PDT),JGoldy ,2010 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Don't Know Why Edmunds Hates the Avenger," OK.  For reasons still not completely understood by me, Edmunds hates my car (08 SXT).  I would just like to point out, to any prospective buyers, what this car entails.  Put against its competitors (Altima, Accord, Camry, etc.) the Avenger clearly beats all others on the appearance front.  Also, the Avenger has a better speaker system (I know from personal experience).  The engine is mid pack, putting out 178 hp and with a ~10 second 0-60.  Also, from personal experience, I KNOW that the cabin is also bigger and more comfy than competitors.  I have no clue why this car get so much flack. I guess it's because it looks like a Charger and is expected to act like it.",4
311, on 09/04/10 19:25 PM (PDT),Misty ,2010 Dodge Avenger Sedan R/T 4dr Sedan (2.4L 4cyl 4A),Avenger Review," I really like our new car, gas mileage is wonderful and it is fun to drive. I do have a couple complaints: after it rains the trunk holds water then when you lift the trunk it drains into the trunk. The touchscreen is too bright at night and can't turn it down. Also, the middle console is not designed very good. The cup holders are hard to reach and the little tray in the middle is back to far. ",4.625
312, on 06/29/10 13:23 PM (PDT),AJ ,2010 Dodge Avenger Sedan R/T 4dr Sedan (2.4L 4cyl 4A),Impressed," I bought a new 2010 Dodge Avenger R/T with the 4 cylinder engine.  I was a little skeptical because of the small engine and ""being a car"".  I have driven trucks around my whole life.  I bought it because I drive a minimum of 600 miles a week with my new job, so the thought of 30 mpg was the deciding factor.  I have had it for almost 3 months and have 7,000 miles on it, and I could not be happier.  I average 27 mpg, that includes city and highway.  I have had two trips that were all highway, my first I got 37 mpg and the second was 33.  I always fill it up and reset the tripometer so my calculations are true.  It is a great car and fits all my needs, even putting my rode bike in the back seat",4.875
313, on 06/09/10 18:06 PM (PDT),Tracie ,2010 Dodge Avenger Sedan Express 4dr Sedan (2.4L 4cyl 4A),Love My New Car , This car is fabulous! I wanted something that was fun and had enough power to make driving a good time but not enough to get me in trouble. I also wanted something that was the right size for a growing family. This car fits all of my needs and the added extras like the media center just sweeten the deal. It's fun and it fits the zippy mom car role I was looking for ,4.75
314, on 04/27/10 09:49 AM (PDT),RMB ,2010 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),2010 Avenger SXT," I purchased 4 months ago and put about 5000 mi on my Avenger.  I was looking for a combination of good gas mileage, style, and room for growing kids.  So far I'm very happy with smooth ride, decent options, and no mechanical issues.  I drive mainly as commuter car and get 27 MPG (80/20 highway/city).  I got 34 MPG highway on long trip!  The 2.4 L doesn't have impressive power, but plenty for my needs. The seating is comfortable except it could use a little more leg room, as I'm 6'3"".  Also, with the seat raised up, I can't see the top of the speedometer. ",4.5
315, on 03/13/10 17:14 PM (PST),Dodger ,2010 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Still testing," I just bought this vehicle a few weeks ago and feel misled.  I bought this model based on the 2009 booklet and model in showroom.  The 2010 Avenger SXT DOES NOT have the options that come standard in the 2009 SXT.  The ride is quiet.  The satellite radio is great.  I was told it would have ""all the power"" but it didn't come with a power seat!  Will not buy another Chrysler Dodge product in the future.",2.625
316, on 03/13/10 11:40 AM (PST),reburton ,2010 Dodge Avenger Sedan R/T 4dr Sedan (2.4L 4cyl 4A),2010 Avenger R/T w/V6," This car is nice for everyday distance driving 120 miles a day. 3.5L V6 24V MPI Color Scheme: Brilliant Black Crystal Pearl Coat External, Dark Slate Grey lower 1/2 with off white upper 1/2 interior. White LED interior lighting.  Drivability: with slow starts in city driving, you feel all 6 gears before you hit 40 MPH.  With quick starts like the on ramp to interstates, you only feel 3 gears and then the 6th for overdrive.  This car WILL throw you back into the seat during rapid acceleration, but not with the same force as a V8.  Mileage for the 120 mile trip is around 28 MPG according to the traveler trip computer.",4.625
317, on 12/11/09 17:28 PM (PST),John Mech ,2010 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),New Avenger," I just got this 2010 White Gold Avenger 2 days ago, so I have not driven it too much. 100 miles so far. I like the car so far. Very quiet, solid. This is a new color for Dodge for 2010.",4.375
318, on 08/15/18 09:57 AM (PDT),Jordan ,2012 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),It's a car that fails at it's own job," I bought this car from my sister for $3100 (what was left an auto loan) because she no longer needed a car at all. She knows nothing about cars, so as long as it works, she won't care. So far, I haven't had any major issues with my car and I'm at 80K miles, but I still fear for my life. There was a recall on seatbelts and airbags. As long as you don't suck at driving though, you can survive. It gets great gas mileage! I started working in town and didn't have to commute, so I'm still at a full tank after filling up last week. But that's probably the only good thing about this car. This car has a 2.4 inline-4 engine, and the 3.6 V6 has 110 more horsepower but same mpg. This car is gutless. You press on the gas pedal and you almost hear the engine ask you to repeat yourself because it didn't hear you and then you find out your engine is a turtle crawling backwards in January. The 4 speed transmission is like an older gentleman, it's slow to decide on what it wants to do, even though you told it what to do a thousand times. I tried buying aftermarket parts to modify it's performance and literally the only thing anybody makes for it is a cold air intake. So you really won't get far with that idea. The exhaust is fairly loud, but only from inside the cab if that makes any sense. The radio at least works, it has a 6 disc CD player because we all need that, but at least it had an auxiliary port, but no Bluetooth or usb. The seats are pretty comfortable, but for about 2 hours. After that, your butt starts getting numb. After all the immediately important stuff, then you think about what to do when something needs repairs. Engine parts aren't too hard to find as long as it's a sensor. Anything else is special order from dealer or it doesn't exist. Changing out a simple battery requires the removal of the front left wheel and fender. Buying a new engine or transmission if necessary, is almost as much as the car is worth. That actually doesn't say much... Wheels are common though, brakes are easy to replace, oil changes are a breeze, but I got my hand stuck trying to change my headlights because I didn't like the idea of removing the bumper to get to it. Overall, this is one of those cars you only should drive as a rental or a lease when it had 30k miles on it. But after 100k, well I don't think I've ever seen one yet that isn't for sale.",2
319, on 07/07/17 12:02 PM (PDT),David  Cody ,2012 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),Very Good C ar," This is a very good car foe the price. GOOD PEP, HANDLING AND mpg",5
